x-axis,1,2
second,Volt,Volt
-10.000000E+00,,
-9.995000E+00,,
-9.990000E+00,,
-9.985000E+00,+800.503E-03,+900.628E-03
-9.980000E+00,+744.221E-03,+771.985E-03
-9.975000E+00,+623.618E-03,+723.744E-03
-9.970000E+00,+583.417E-03,+643.342E-03
-9.965000E+00,+559.296E-03,+562.940E-03
-9.960000E+00,+511.055E-03,+562.940E-03
-9.955000E+00,+503.015E-03,+562.940E-03
-9.950000E+00,+462.814E-03,+522.739E-03
-9.945000E+00,+543.216E-03,+570.980E-03
-9.940000E+00,+559.296E-03,+627.261E-03
-9.935000E+00,+583.417E-03,+691.583E-03
-9.930000E+00,+687.940E-03,+691.583E-03
-9.925000E+00,+744.221E-03,+763.945E-03
-9.920000E+00,+784.422E-03,+876.507E-03
-9.915000E+00,+800.503E-03,+900.628E-03
-9.910000E+00,+905.025E-03,+964.950E-03
-9.905000E+00,+985.427E-03,+1.053392E+00
-9.900000E+00,+1.025628E+00,+1.165955E+00
-9.895000E+00,+1.146231E+00,+1.182035E+00
-9.890000E+00,+1.258794E+00,+1.262437E+00
-9.885000E+00,+1.411558E+00,+1.326759E+00
-9.880000E+00,+1.467839E+00,+1.407161E+00
-9.875000E+00,+1.628643E+00,+1.487563E+00
-9.870000E+00,+1.717085E+00,+1.527764E+00
-9.865000E+00,+1.902010E+00,+1.608166E+00
-9.860000E+00,+1.974372E+00,+1.624246E+00
-9.855000E+00,+2.151256E+00,+1.648367E+00
-9.850000E+00,+2.231658E+00,+1.648367E+00
-9.845000E+00,+2.312060E+00,+1.576005E+00
-9.840000E+00,+2.352261E+00,+1.648367E+00
-9.835000E+00,+2.408543E+00,+1.664447E+00
-9.830000E+00,+2.432663E+00,+1.648367E+00
-9.825000E+00,+2.472864E+00,+1.648367E+00
-9.820000E+00,+2.513065E+00,+1.648367E+00
-9.815000E+00,+2.529146E+00,+1.632286E+00
-9.810000E+00,+2.529146E+00,+1.608166E+00
-9.805000E+00,+2.448744E+00,+1.648367E+00
-9.800000E+00,+2.472864E+00,+1.567965E+00
-9.795000E+00,+2.416583E+00,+1.616206E+00
-9.790000E+00,+2.368342E+00,+1.608166E+00
-9.785000E+00,+2.336181E+00,+1.632286E+00
-9.780000E+00,+2.304020E+00,+1.648367E+00
-9.775000E+00,+2.191457E+00,+1.648367E+00
-9.770000E+00,+2.094975E+00,+1.648367E+00
-9.765000E+00,+1.998492E+00,+1.592085E+00
-9.760000E+00,+1.885930E+00,+1.584045E+00
-9.755000E+00,+1.789447E+00,+1.567965E+00
